source,target,value
0,10,44008537.02
1,10,24291.97621
0,12,0.5
1,12,548350.9562
0,13,4078.754385
1,13,1437.549834
0,14,3457.248092
1,14,129.7013501
1,31,0.5
1,42,7705.309606
0,46,6983709.283
1,46,0.5
0,47,65035.97648
1,47,30.01061726
0,48,4200548.332
1,48,313930.4571
10,11,0.5
12,11,458162.0561
14,11,2.02538738
42,11,7705.309606
46,11,289408.3407
47,11,0.5
48,11,134577.0937
10,49,17620305.69
12,49,1565920.11
13,49,3965.411057
14,49,4305.726745
31,49,0.5
46,49,4288258.005
47,49,21220.77799
48,49,835126.3471
11,3,66793.10974
11,4,112.064396
11,5,192.1249257
11,9,73596.50451
49,17,33837.9706
49,18,2633.019508
49,19,609864.6439
49,20,2747318.362
49,21,69.8879518
49,22,13019.12258
49,23,9.787312751
49,24,679130.0021
49,25,2.02538738
49,26,26.09487326
49,27,0.5
49,28,190961.8181
49,29,103257.512
49,30,2023091.159
11,51,23673.92779
11,52,44569.21548
11,53,0.5
11,54,2.02538738
11,55,4977.225395
11,56,654.8208633
11,57,0.5
11,58,0.5
49,59,0.5
49,60,189.7612871
49,61,3569.940741
49,62,0.5
11,63,495.6663547
11,64,21718.19977
11,65,69.8879518
11,66,955412.2861
11,67,30871.84413
11,68,115230.943
49,69,0.5
49,70,0.5
49,71,26192.50584
49,72,987.6182532
49,73,0.5
49,74,1242516.53
49,75,5.693280852
49,76,0.5
49,77,204178.8408
49,78,101587.4695
49,79,2749687.187
49,80,11.55884412
49,81,0.5
49,82,79051.34161
49,83,30.01061726
49,84,84.40515682
49,85,30.01061726
49,86,1074.964509
49,87,448.5309488
49,88,0.5
11,89,130945.0225
11,90,0.5
53,45,0.5
54,45,2.02538738
55,45,4977.225395
56,45,654.8208633
57,45,0.5
58,45,0.5
59,45,0.5
60,45,189.7612871
61,45,3569.940741
62,45,0.5
63,45,495.6663547
64,45,21718.19977
65,45,69.8879518
66,45,955412.2861
67,45,30871.84413
68,45,115230.943
69,45,0.5
70,45,0.5
71,45,26192.50584
72,45,987.6182532
73,45,0.5
74,45,1242516.53
75,45,5.693280852
76,45,0.5
77,45,204178.8408
78,45,101587.4695
79,45,2749687.187
80,45,11.55884412
81,45,0.5
82,45,79051.34161
83,45,30.01061726
84,45,84.40515682
85,45,30.01061726
86,45,1074.964509
87,45,448.5309488
88,45,0.5
89,45,130945.0225
90,45,0.5
3,2,131595.7036
4,2,112.064396
5,2,939.3825109
3,6,0.5
5,6,11.55884412
19,6,556.1378695
19,7,0.5
9,8,173680.5089
28,15,30.01061726
5,32,0.5
28,33,0.5
24,34,5.693280852
3,35,0.5
18,35,0.5
19,35,2228.423536
19,36,2.02538738
22,36,0.5
28,36,11.55884412
30,36,0.5
9,37,15072.54578
3,38,0.5
9,38,5821.615502
28,38,0.5
30,38,0.5
9,39,84.40515682
19,40,458.4541938
3,41,19.65626009
19,41,19.65626009
26,41,0.5
29,41,2.02538738
19,43,67172.53055
20,43,0.5
24,43,104.6405947
9,44,0.5
28,44,9191.799968
52,50,44569.21548
17,92,33837.9706
18,92,2633.019508
19,92,1177131.416
20,92,2583187.801
21,92,69.8879518
22,92,13019.12258
23,92,9.787312751
24,92,0.5
25,92,2.02538738
26,92,26.09487326
27,92,0.5
28,92,245757.3439
29,92,77438.5806
30,92,2023091.159
51,93,23673.92779
6,16,2784.324282
7,16,0.5
15,16,30.01061726
32,16,0.5
33,16,0.5
34,16,5.693280852
35,16,2228.423536
36,16,19.65626009
37,16,15072.54578
38,16,5821.615502
39,16,84.40515682
40,16,458.4541938
41,16,21.35567288
43,16,532627.5356
44,16,11264.31135
45,91,20480378.44
2,91,111554.0736
8,91,173680.5089
50,91,44569.21548
92,91,5998242.091
93,91,23673.92779
